APIs,excipients,sa_label,sa_score,pv_label,pv_score
Mesalazine,Baicalein,0.0,0.9999492168426514,2.0,0.9365658760070801
Mesalazine,Berberine,0.0,0.9998394250869751,3.0,0.9947996139526367
Mesalazine,Caffeic acid,0.0,0.9998759031295776,3.0,0.9856002330780029
Mesalazine,Chlorogenic acid,0.0,0.9978556036949158,3.0,0.8171448707580566
Mesalazine,EGCG,1.0,0.9983172416687012,1.0,0.999997615814209
Mesalazine,Emodin,0.0,0.9995959401130676,3.0,0.7047085165977478
Mesalazine,Gallic_acid,0.0,0.999901294708252,3.0,0.9301488399505615
Mesalazine,Glycyrrhizic_acid,1.0,0.9997568726539612,3.0,0.9969457983970642
Mesalazine,Procyanidin,0.0,0.9772679209709167,3.0,0.9452051520347595
Mesalazine,Protocatechuic aldehyde,0.0,0.9999346733093262,3.0,0.9999234676361084
Mesalazine,Puerarin,0.0,0.9958551526069641,0.0,0.99787437915802
Mesalazine,Quercetin,0.0,0.9998564720153809,2.0,0.8991495966911316
Mesalazine,Rosmarinic acid,0.0,0.9997962117195129,3.0,0.996916651725769
Mesalazine,Rutin,0.0,0.9721536636352539,3.0,0.9931918978691101
Mesalazine,Sophoricoside,0.0,0.9987565279006958,3.0,0.9352221488952637
Mesalazine,Ursolic_acid,0.0,0.9998409748077393,2.0,0.9996640682220459
Mesalazine,Diammonium glycyrrhizinate,1.0,0.9988771080970764,3.0,0.7788683772087097
Mesalazine,Ginsenoside_Rg3,0.0,0.8509125113487244,3.0,0.9973105192184448
Dexamethasone,Baicalein,0.0,0.9959685802459717,2.0,0.9886388778686523
Dexamethasone,Berberine,1.0,0.9776910543441772,2.0,0.9166860580444336
Dexamethasone,Caffeic acid,1.0,0.7473089694976807,3.0,0.995964527130127
Dexamethasone,Chlorogenic acid,0.0,0.9403306841850281,2.0,0.9978684186935425
Dexamethasone,EGCG,0.0,0.6047119498252869,2.0,0.7242892384529114
Dexamethasone,Emodin,0.0,0.8858357667922974,2.0,0.9951086640357971
Dexamethasone,Gallic_acid,1.0,0.996156632900238,2.0,0.6609358191490173
Dexamethasone,Glycyrrhizic_acid,0.0,0.9986329674720764,3.0,0.6448893547058105
Dexamethasone,Procyanidin,0.0,0.9983713030815125,3.0,0.5015615224838257
Dexamethasone,Protocatechuic aldehyde,1.0,0.7230932116508484,3.0,0.9596801996231079
Dexamethasone,Puerarin,0.0,0.9580203294754028,2.0,0.99381422996521
Dexamethasone,Quercetin,0.0,0.9873213768005371,2.0,0.9950467348098755
Dexamethasone,Rosmarinic acid,0.0,0.8111645579338074,3.0,0.6920487880706787
