name,smiles
Nitroaspirin,CC(=O)OC1=CC=CC=C1C(=O)OC1=CC=CC(CO[N+]([O-])=O)=C1
Acetylsalicylic acid,CC(=O)OC1=CC=CC=C1C(O)=O
Prasugrel,CC(=O)OC1=CC2=C(CCN(C2)C(C(=O)C2CC2)C2=CC=CC=C2F)S1
Thiopropazate,CC(=O)OCCN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(Cl)C=C3)CC1
Ketoprofen,CC(C(O)=O)C1=CC(=CC=C1)C(=O)C1=CC=CC=C1
Flurbiprofen,CC(C(O)=O)C1=CC(F)=C(C=C1)C1=CC=CC=C1
Zaltoprofen,CC(C(O)=O)C1=CC=C2SC3=C(C=CC=C3)C(=O)CC2=C1
Carprofen,CC(C(O)=O)C1=CC2=C(C=C1)C1=C(N2)C=CC(Cl)=C1
Ifenprodil,CC(C(O)C1=CC=C(O)C=C1)N1CCC(CC2=CC=CC=C2)CC1
Fexofenadine,CC(C)(C(O)=O)C1=CC=C(C=C1)C(O)CCCN1CCC(CC1)C(O)(C1=CC=CC=C1)C1=CC=CC=C1
Pivagabine,CC(C)(C)C(=O)NCCCC(O)=O
Stiripentol,CC(C)(C)C(O)\C=C\C1=CC2=C(OCO2)C=C1
Ebastine,CC(C)(C)C1=CC=C(C=C1)C(=O)CCCN1CCC(CC1)OC(C1=CC=CC=C1)C1=CC=CC=C1
Terfenadine,CC(C)(C)C1=CC=C(C=C1)C(O)CCCN1CCC(CC1)C(O)(C1=CC=CC=C1)C1=CC=CC=C1
Buclizine,CC(C)(C)C1=CC=C(CN2CCN(CC2)C(C2=CC=CC=C2)C2=CC=C(Cl)C=C2)C=C1
Clenbuterol,CC(C)(C)NCC(O)C1=CC(Cl)=C(N)C(Cl)=C1
Terbutaline,CC(C)(C)NCC(O)C1=CC(O)=CC(O)=C1
Carteolol,CC(C)(C)NCC(O)COC1=CC=CC2=C1CCC(=O)N2
Evogliptin,CC(C)(C)OC[C@H]1N(CCNC1=O)C(=O)C[C@H](N)CC1=CC(F)=C(F)C=C1F
Remikiren,CC(C)(C)S(=O)(=O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC1=CN=CN1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)[C@@H](O)C1CC1
Chlorphentermine,CC(C)(N)CC1=CC=C(Cl)C=C1
Phentermine,CC(C)(N)CC1=CC=CC=C1
Levomenthol,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O
Menthyl salicylate,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC(=O)C1=CC=CC=C1O
Arbaclofen Placarbil,CC(C)[C@H](OC(=O)NC[C@H](CC(O)=O)C1=CC=C(Cl)C=C1)OC(=O)C(C)C
Nateglinide,CC(C)[C@H]1CC[C@@H](CC1)C(=O)N[C@H](CC1=CC=CC=C1)C(O)=O
Sulfadicramide,CC(C)=CC(=O)NS(=O)(=O)C1=CC=C(N)C=C1
Gabapentin enacarbil,CC(C)C(=O)OC(C)OC(=O)NCC1(CC(O)=O)CCCCC1
Bromisoval,CC(C)C(Br)C(=O)NC(N)=O
Apronalide,CC(C)C(CC=C)C(=O)NC(N)=O
BQ-123,CC(C)C[C@@H]1NC(=O)[C@H](NC(=O)[C@@H]2CCCN2C(=O)[C@@H](CC(O)=O)NC(=O)[C@@H](CC2=CNC3=CC=CC=C23)NC1=O)C(C)C
Pregabalin,CC(C)C[C@H](CN)CC(O)=O
SOR-C13,CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@@H](N)CCCCN)C(=O)N[C@@H](CC1=CN=CN1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(N)=N)C(O)=O
Enibomal,CC(C)C1(CC(Br)=C)C(=O)NC(=O)N(C)C1=O
Aprobarbital,CC(C)C1(CC=C)C(=O)NC(=O)NC1=O
Propyphenazone,CC(C)C1=C(C)N(C)N(C1=O)C1=CC=CC=C1
Thymol,CC(C)C1=CC=C(C)C=C1O
Cariporide,CC(C)C1=CC=C(C=C1S(C)(=O)=O)C(=O)NC(N)=N
Propofol,CC(C)C1=CC=CC(C(C)C)=C1O
Fospropofol,CC(C)C1=CC=CC(C(C)C)=C1OCOP(O)(O)=O
Sibutramine,CC(C)CC(N(C)C)C1(CCC1)C1=CC=C(Cl)C=C1
Butalbital,CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O
Buthiazide,CC(C)CC1NC2=C(C=C(C(Cl)=C2)S(N)(=O)=O)S(=O)(=O)N1
Pagoclone,CC(C)CCC(=O)CC1N(C(=O)C2=CC=CC=C12)C1=NC2=C(C=CC(Cl)=N2)C=C1
Tocopherylquinone,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@@](C)(O)CCC1=C(C)C(=O)C(C)=C(C)C1=O
Disopyramide,CC(C)N(CCC(C(N)=O)(C1=CC=CC=C1)C1=NC=CC=C1)C(C)C
Selexipag,CC(C)N(CCCCOCC(=O)NS(C)(=O)=O)C1=NC(C2=CC=CC=C2)=C(N=C1)C1=CC=CC=C1
Iprazochrome,CC(C)N1CC(O)C2=C\C(=N\NC(N)=O)C(=O)C=C12
Lorcainide,CC(C)N1CCC(CC1)N(C(=O)CC1=CC=CC=C1)C1=CC=C(Cl)C=C1
Oxaflozane,CC(C)N1CCOC(C1)C1=CC=CC(=C1)C(F)(F)F
Proguanil,CC(C)NC(=N)NC(=N)NC1=CC=C(Cl)C=C1
Torasemide,CC(C)NC(=O)NS(=O)(=O)C1=C(NC2=CC=CC(C)=C2)C=CN=C1
Iofetamine I-123,CC(C)NC(C)CC1=CC=C([123I])C=C1
Prenalterol,CC(C)NC[C@H](O)COC1=CC=C(O)C=C1
Isoprenaline,CC(C)NCC(O)C1=CC(O)=C(O)C=C1
Orciprenaline,CC(C)NCC(O)C1=CC(O)=CC(O)=C1
Metipranolol,CC(C)NCC(O)COC1=C(C)C(C)=C(OC(C)=O)C(C)=C1
Iproniazid,CC(C)NNC(=O)C1=CC=NC=C1
Iproclozide,CC(C)NNC(=O)COC1=CC=C(Cl)C=C1
Dimetindene,CC(C1=C(CCN(C)C)CC2=CC=CC=C12)C1=CC=CC=N1
Medetomidine,CC(C1=CN=CN1)C1=CC=CC(C)=C1C
Chlorhexadol,CC(CC(C)(C)O)OC(O)C(Cl)(Cl)Cl
Candicidin,CC(CC(C)C1OC(=O)CC(=O)CCCC(=O)CC(O)CC(O)CC(O)CC(=O)CC(O)C(C(O)CC(OC2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)\C=C\C=C\C=C\C=C\C=C\C=C\C=C\C1C)C(O)=O)C(O)CC(=O)C1=CC=C(N)C=C1
Benfluorex,CC(CC1=CC(=CC=C1)C(F)(F)F)NCCOC(=O)C1=CC=CC=C1
Fenoterol,CC(CC1=CC=C(O)C=C1)NCC(O)C1=CC(O)=CC(O)=C1
Protokylol,CC(CC1=CC=C2OCOC2=C1)NCC(O)C1=CC=C(O)C(O)=C1
Remacemide,CC(CC1=CC=CC=C1)(NC(=O)CN)C1=CC=CC=C1
Mefenorex,CC(CC1=CC=CC=C1)NCCCCl
Dobutamine,CC(CCC1=CC=C(O)C=C1)NCCC1=CC(O)=C(O)C=C1
Niaprazine,CC(CCN1CCN(CC1)C1=CC=C(F)C=C1)NC(=O)C1=CN=CC=C1
Trimipramine,CC(CN(C)C)CN1C2=CC=CC=C2CCC2=CC=CC=C12
Oxomemazine,CC(CN(C)C)CN1C2=CC=CC=C2S(=O)(=O)C2=CC=CC=C12
Cyamemazine,CC(CN(C)C)CN1C2=CC=CC=C2SC2=C1C=C(C=C2)C#N
Alimemazine,CC(CN(C)C)CN1C2=CC=CC=C2SC2=CC=CC=C12
Aceprometazine,CC(CN1C2=CC=CC=C2SC2=C1C=C(C=C2)C(C)=O)N(C)C
Hydroxyethylpromethazine,CC(CN1C2=CC=CC=C2SC2=C1C=CC=C2)[N+](C)(C)CCO
Isothipendyl,CC(CN1C2=CC=CC=C2SC2=C1N=CC=C2)N(C)C
Thiazinam,CC(CN1C2=CC=CC=C2SC2=CC=CC=C12)[N+](C)(C)C
Promethazine,CC(CN1C2=CC=CC=C2SC2=CC=CC=C12)N(C)C
Tolperisone,CC(CN1CCCCC1)C(=O)C1=CC=C(C)C=C1
Dixyrazine,CC(CN1CCN(CCOCCO)CC1)CN1C2=CC=CC=C2SC2=CC=CC=C12
Phenoxybenzamine,CC(COC1=CC=CC=C1)N(CCCl)CC1=CC=CC=C1
Tocainide,CC(N)C(=O)NC1=C(C)C=CC=C1C
Alaproclate,CC(N)C(=O)OC(C)(C)CC1=CC=C(Cl)C=C1
Phenylpropanolamine,CC(N)C(O)C1=CC=CC=C1
Amphetamine,CC(N)CC1=CC=CC=C1
Tenamfetamine,CC(N)CC1=CC2=C(OCO2)C=C1
Mexiletine,CC(N)COC1=C(C)C=CC=C1C
Pinacidil,CC(N\C(NC#N)=N\C1=CC=NC=C1)C(C)(C)C
Muzolimine,CC(N1N=C(N)CC1=O)C1=CC(Cl)=C(Cl)C=C1
Bupropion,CC(NC(C)(C)C)C(=O)C1=CC(Cl)=CC=C1
Proxibarbal,CC(O)CC1(CC=C)C(=O)NC(=O)NC1=O
Tecarfarin,CC(OC(=O)C1=CC=C(CC2=C(O)C3=CC=CC=C3OC2=O)C=C1)(C(F)(F)F)C(F)(F)F
Flurbiprofen axetil,CC(OC(C)=O)OC(=O)C(C)C1=CC(F)=C(C=C1)C1=CC=CC=C1
Lofexidine,CC(OC1=C(Cl)C=CC=C1Cl)C1=NCCN1
Posaconazole,CC[C@@H]([C@H](C)O)N1N=CN(C1=O)C1=CC=C(C=C1)N1CCN(CC1)C1=CC=C(OC[C@@H]2CO[C@](CN3C=NC=N3)(C2)C2=C(F)C=C(F)C=C2)C=C1
Basifungin,CC[C@@H](C)[C@@H]1OC(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)NC(=O)[C@H](C(C)C)N(C)C(=O)[C@H](NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC2=CC=CC=C2)N(C)C(=O)[C@H](CC2=CC=CC=C2)NC(=O)C(NC1=O)C(C)C)[C@H](C)C(C)C
Procaterol,CC[C@@H](NC(C)C)[C@@H](O)C1=CC=C(O)C2=C1C=CC(=O)N2
Alphacetylmethadol,CC[C@@H](OC(C)=O)C(C[C@@H](C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1
Lorajmine,CC[C@@H]1[C@@H](O)N2[C@H]3C[C@]45[C@H](OC(=O)CCl)[C@H]3[C@H]1C[C@H]2[C@@H]4N(C)C1=CC=CC=C51
Dextofisopam,CC[C@@H]1C2=CC(OC)=C(OC)C=C2C(=NN=C1C)C1=CC=C(OC)C(OC)=C1
Cyclosporine,CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C
Tapentadol,CC[C@H]([C@@H](C)CN(C)C)C1=CC(O)=CC=C1
Taspoglutide,CC[C@H](C)[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CCC(N)=O)NC(=O)CNC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](NC(=O)CNC(=O)[C@H](CCC(O)=O)NC(=O)C(C)(C)NC(=O)[C@@H](N)CC1=CNC=N1)[C@@H](C)O)[C@@H](C)O)C(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCCCN)C(=O)NC(C)(C)C(=O)N[C@@H](CCCNC(N)=N)C(N)=O
Semaglutide,CC[C@H](C)[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CCCCNC(=O)COCCOCCNC(=O)COCCOCCNC(=O)CC[C@@H](NC(=O)CCCCCCCCCCCCCCCCC(O)=O)C(O)=O)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CCC(N)=O)NC(=O)CNC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](NC(=O)CNC(=O)[C@H](CCC(O)=O)NC(=O)C(C)(C)NC(=O)[C@@H](N)CC1=CN=CN1)[C@@H](C)O)[C@@H](C)O)C(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCCNC(N)=N)C(=O)NCC(=O)N[C@@H](CCCNC(N)=N)C(=O)NCC(O)=O
Bivalirudin,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(O)=O)NC(=O)CNC(=O)[C@H](CC(N)=O)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](N)CC1=CC=CC=C1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(=O)N[C@@H](CC(C)C)C(O)=O
Levetiracetam,CC[C@H](N1CCCC1=O)C(N)=O
Levacetylmethadol,CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1
Hydroquinine,CC[C@H]1C[N@@]2CC[C@H]1C[C@H]2[C@H](O)C1=C2C=C(OC)C=CC2=NC=C1
Emepronium,CC[N+](C)(C)C(C)CC(C1=CC=CC=C1)C1=CC=CC=C1
Bretylium,CC[N+](C)(C)CC1=CC=CC=C1Br
Vinbarbital,CC\C=C(/C)C1(CC)C(=O)NC(=O)NC1=O
Icosapent,CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O
Gepirone,CC1(C)CC(=O)N(CCCCN2CCN(CC2)C2=NC=CC=N2)C(=O)C1
Licofelone,CC1(C)CN2C(CC(O)=O)=C(C(=C2C1)C1=CC=CC=C1)C1=CC=C(Cl)C=C1
Cycloguanil,CC1(C)N=C(N)N=C(N)N1C1=CC=C(Cl)C=C1
Firocoxib,CC1(C)OC(=O)C(OCC2CC2)=C1C1=CC=C(C=C1)S(C)(=O)=O
Talampicillin,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)C3=CC=CC=C3)C(=O)N2[C@H]1C(=O)OC1OC(=O)C2=CC=CC=C12
Epicillin,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)C3=CCC=CC3)C(=O)N2[C@H]1C(O)=O
Carfecillin,CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)OC3=CC=CC=C3)C3=CC=CC=C3)C(=O)N2[C@H]1C(O)=O
DPDPE,CC1(C)SSC(C)(C)[C@@H](NC(=O)[C@@H](N)CC2=CC=C(O)C=C2)C(=O)NCC(=O)N[C@@H](CC2=CC=CC=C2)C(=O)N[C@H]1C(O)=O
Ciglitazone,CC1(COC2=CC=C(CC3SC(=O)NC3=O)C=C2)CCCCC1
Valdecoxib,CC1=C(C(=NO1)C1=CC=CC=C1)C1=CC=C(C=C1)S(N)(=O)=O
Metoprine,CC1=C(C(N)=NC(N)=N1)C1=CC(Cl)=C(Cl)C=C1
Detomidine,CC1=C(C)C(CC2=CN=CN2)=CC=C1
Troglitazone,CC1=C(C)C2=C(CCC(C)(COC3=CC=C(CC4SC(=O)NC4=O)C=C3)O2)C(C)=C1O
Sulfamoxole,CC1=C(C)N=C(NS(=O)(=O)C2=CC=C(N)C=C2)O1
Flunixin,CC1=C(C=CC=C1NC1=C(C=CC=N1)C(O)=O)C(F)(F)F
Leflunomide,CC1=C(C=NO1)C(=O)NC1=CC=C(C=C1)C(F)(F)F
Clomethiazole,CC1=C(CCCl)SC=N1
Ritanserin,CC1=C(CCN2CCC(CC2)=C(C2=CC=C(F)C=C2)C2=CC=C(F)C=C2)C(=O)N2C=CSC2=N1
Paliperidone,CC1=C(CCN2CCC(CC2)C2=NOC3=C2C=CC(F)=C3)C(=O)N2CCCC(O)C2=N1
Risperidone,CC1=C(CCN2CCC(CC2)C2=NOC3=C2C=CC(F)=C3)C(=O)N2CCCCC2=N1
Haloxon,CC1=C(Cl)C(=O)OC2=C1C=CC(OP(=O)(OCCCl)OCCCl)=C2
Meclofenamic acid,CC1=C(Cl)C(NC2=CC=CC=C2C(O)=O)=C(Cl)C=C1
Clonixin,CC1=C(NC2=C(C=CC=N2)C(O)=O)C=CC=C1Cl
Cicletanine,CC1=C(O)C2=C(C=N1)C(OC2)C1=CC=C(Cl)C=C1
Lansoprazole,CC1=C(OCC(F)(F)F)C=CN=C1CS(=O)C1=NC2=CC=CC=C2N1
Tiagabine,CC1=C(SC=C1)C(=CCCN1CCC[C@H](C1)C(O)=O)C1=C(C)C=CS1
Hypericin,CC1=C2C3=C(C)C=C(O)C4=C3C3=C5C2=C(C(O)=C1)C(=O)C1=C5C(=C(O)C=C1O)C1=C(O)C=C(O)C(C4=O)=C31
Oxymetazoline,CC1=CC(=C(O)C(C)=C1CC1=NCCN1)C(C)(C)C
Toloxatone,CC1=CC(=CC=C1)N1CC(CO)OC1=O
Minaprine,CC1=CC(=NN=C1NCCN1CCOCC1)C1=CC=CC=C1
Glisoxepide,CC1=CC(=NO1)C(=O)NCCC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN1CCCCCC1
Isocarboxazid,CC1=CC(=NO1)C(=O)NNCC1=CC=CC=C1
Hymecromone,CC1=CC(=O)OC2=C1C=CC(O)=C2
4-methylumbelliferyl beta-D-glucoside,CC1=CC(=O)OC2=CC(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)=CC=C12
Abafungin,CC1=CC(C)=C(OC2=CC=CC=C2C2=CSC(N=C3NCCCN3)=N2)C=C1
Sulfamethazine,CC1=CC(C)=NC(NS(=O)(=O)C2=CC=C(N)C=C2)=N1
Rupatadine,CC1=CC(CN2CCC(CC2)=C2C3=CC=C(Cl)C=C3CCC3=C2N=CC=C3)=CN=C1
Meclizine,CC1=CC(CN2CCN(CC2)C(C2=CC=CC=C2)C2=CC=C(Cl)C=C2)=CC=C1
Sulfaisodimidine,CC1=CC(NS(=O)(=O)C2=CC=C(N)C=C2)=NC(C)=N1
Sulfamethoxazole,CC1=CC(NS(=O)(=O)C2=CC=C(N)C=C2)=NO1
Metaxalone,CC1=CC(OCC2CNC(=O)O2)=CC(C)=C1
Triprolidine,CC1=CC=C(C=C1)C(=C/CN1CCCC1)\C1=CC=CC=N1
Tolcapone,CC1=CC=C(C=C1)C(=O)C1=CC(=C(O)C(O)=C1)[N+]([O-])=O
Moperone,CC1=CC=C(C=C1)C1(O)CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1
Celecoxib,CC1=CC=C(C=C1)C1=CC(=NN1C1=CC=C(C=C1)S(N)(=O)=O)C(F)(F)F
Phentolamine,CC1=CC=C(C=C1)N(CC1=NCCN1)C1=CC(O)=CC=C1
Glibornuride,CC1=CC=C(C=C1)S(=O)(=O)NC(=O)N[C@@H]1[C@H](O)[C@]2(C)CC[C@H]1C2(C)C
Tolazamide,CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN1CCCCCC1
Metahexamide,CC1=CC=C(C=C1N)S(=O)(=O)NC(=O)NC1CCCCC1
Tolonidine,CC1=CC=C(NC2=NCCN2)C(Cl)=C1
Vortioxetine,CC1=CC=C(SC2=CC=CC=C2N2CCNCC2)C(C)=C1
Nolatrexed,CC1=CC=C2N=C(N)NC(=O)C2=C1SC1=CC=NC=C1
Xipamide,CC1=CC=CC(C)=C1NC(=O)C1=CC(=C(Cl)C=C1O)S(N)(=O)=O
Pilsicainide,CC1=CC=CC(C)=C1NC(=O)CC12CCCN1CCC2
Nefiracetam,CC1=CC=CC(C)=C1NC(=O)CN1CCCC1=O
Xylazine,CC1=CC=CC(C)=C1NC1=NCCCS1
Sequifenadine,CC1=CC=CC=C1C(O)(C1CN2CCC1CC2)C1=CC=CC=C1C
Methaqualone,CC1=CC=CC=C1N1C(C)=NC2=CC=CC=C2C1=O
Meticrane,CC1=CC2=C(C=C1S(N)(=O)=O)S(=O)(=O)CCC2
Trioxsalen,CC1=CC2=CC3=C(OC(=O)C=C3C)C(C)=C2O1
Fedratinib,CC1=CN=C(NC2=CC=C(OCCN3CCCC3)C=C2)N=C1NC1=CC=CC(=C1)S(=O)(=O)NC(C)(C)C
Sulfaperin,CC1=CN=C(NS(=O)(=O)C2=CC=C(N)C=C2)N=C1
Sulfamerazine,CC1=NC(NS(=O)(=O)C2=CC=C(N)C=C2)=NC=C1
Glipizide,CC1=NC=C(N=C1)C(=O)NCCC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1
Ornidazole,CC1=NC=C(N1CC(O)CCl)N(=O)=O
Metronidazole,CC1=NC=C(N1CCO)[N+]([O-])=O
Lemborexant,CC1=NC=C(OC[C@]2(C[C@H]2C(=O)NC2=NC=C(F)C=C2)C2=CC=CC(F)=C2)C(C)=N1
Cilansetron,CC1=NC=CN1C[C@H]1CCC2=C(C3=CC=CC4=C3N2CCC4)C1=O
Dersalazine,CC1=NC2=CN=CC=C2N1CC1CCN(CC1)C(=O)\C=C(\C1=CC=CC=C1)C1=CC=C(C=C1)\N=N\C1=CC(C(O)=O)=C(O)C=C1
Sulfamethizole,CC1=NN=C(NS(=O)(=O)C2=CC=C(N)C=C2)S1
Pyrazolam,CC1=NN=C2CN=C(C3=CC=CC=N3)C3=C(C=CC(Br)=C3)N12
Anagliptin,CC1=NN2C=C(C=NC2=C1)C(=O)NCC(C)(C)NCC(=O)N1CCC[C@H]1C#N
Sitaxentan,CC1=NOC(NS(=O)(=O)C2=C(SC=C2)C(=O)CC2=CC3=C(OCO3)C=C2C)=C1Cl
Sulfisoxazole,CC1=NOC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1C
Diazoxide,CC1=NS(=O)(=O)C2=C(N1)C=CC(Cl)=C2
Pentazocine,CC1C2CC3=C(C=C(O)C=C3)C1(C)CCN2CC=C(C)C
Simendan,CC1CC(O)=NN=C1C1=CC=C(NN=C(C#N)C#N)C=C1
Indapamide,CC1CC2=CC=CC=C2N1NC(=O)C1=CC(=C(Cl)C=C1)S(N)(=O)=O
Flumequine,CC1CCC2=CC(F)=CC3=C2N1C=C(C(O)=O)C3=O
Melperone,CC1CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1
Grepafloxacin,CC1CN(CCN1)C1=C(F)C(C)=C2C(=O)C(=CN(C3CC3)C2=C1)C(O)=O
Temafloxacin,CC1CN(CCN1)C1=C(F)C=C2C(=O)C(=CN(C2=C1)C1=C(F)C=C(F)C=C1)C(O)=O
5-(2-methylpiperazine-1-sulfonyl)isoquinoline,CC1CNCCN1S(=O)(=O)C1=C2C=CN=CC2=CC=C1
Ofloxacin,CC1COC2=C3N1C=C(C(O)=O)C(=O)C3=CC(F)=C2N1CCN(C)CC1
Metolazone,CC1NC2=CC(Cl)=C(C=C2C(=O)N1C1=CC=CC=C1C)S(N)(=O)=O
Phenmetrazine,CC1NCCOC1C1=CC=CC=C1
Paraldehyde,CC1OC(C)OC(C)O1
Prulifloxacin,CC1SC2=C(C(O)=O)C(=O)C3=CC(F)=C(C=C3N12)N1CCN(CC2=C(C)OC(=O)O2)CC1
Methohexital,CCC#CC(C)C1(CC=C)C(=O)NC(=O)N(C)C1=O
Etacrynic acid,CCC(=C)C(=O)C1=C(Cl)C(Cl)=C(OCC(O)=O)C=C1
Normethadone,CCC(=O)C(CCN(C)C)(C1=CC=CC=C1)C1=CC=CC=C1
Ketobemidone,CCC(=O)C1(CCN(C)CC1)C1=CC(O)=CC=C1
Propiopromazine,CCC(=O)C1=CC=C2SC3=C(C=CC=C3)N(CCCN(C)C)C2=C1
Propiomazine,CCC(=O)C1=CC2=C(SC3=CC=CC=C3N2CC(C)N(C)C)C=C1
Lofentanil,CCC(=O)N(C1=CC=CC=C1)[C@]1(CCN(CCC2=CC=CC=C2)C[C@H]1C)C(=O)OC
Remifentanil,CCC(=O)N(C1=CC=CC=C1)C1(CCN(CCC(=O)OC)CC1)C(=O)OC
Carfentanil,CCC(=O)N(C1=CC=CC=C1)C1(CCN(CCC2=CC=CC=C2)CC1)C(=O)OC
Sufentanil,CCC(=O)N(C1=CC=CC=C1)C1(COC)CCN(CCC2=CC=CS2)CC1
Fentanyl,CCC(=O)N(C1CCN(CCC2=CC=CC=C2)CC1)C1=CC=CC=C1
Tasimelteon,CCC(=O)NC[C@@H]1C[C@H]1C1=CC=CC2=C1CCO2
Ramelteon,CCC(=O)NCC[C@@H]1CCC2=C1C1=C(OCC1)C=C2
Dextropropoxyphene,CCC(=O)O[C@@](CC1=CC=CC=C1)([C@H](C)CN(C)C)C1=CC=CC=C1
Alphaprodine,CCC(=O)O[C@]1(CCN(C)C[C@H]1C)C1=CC=CC=C1
Carbromal,CCC(Br)(CC)C(=O)NC(N)=O
Pheneturide,CCC(C(=O)NC(N)=O)C1=CC=CC=C1
Emylcamate,CCC(C)(CC)OC(N)=O
Methylpentynol,CCC(C)(O)C#C
Mebutamate,CCC(C)C(C)(COC(N)=O)COC(N)=O
Mebutizide,CCC(C)C(C)C1NC2=CC(Cl)=C(C=C2S(=O)(=O)N1)S(N)(=O)=O
Valnoctamide,CCC(C)C(CC)C(N)=O
Butabarbital,CCC(C)C1(CC)C(=O)NC(=O)NC1=O
Talbutal,CCC(C)C1(CC=C)C(=O)NC(=O)NC1=O
Colistin,CCC(C)CCCC(=O)N[C@@H](CCN)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CCN)C(=O)N[C@H]1CCNC(=O)C(NC(=O)[C@@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CCN)NC1=O)[C@@H](C)O
Colistimethate,CCC(C)CCCCC(=O)NC(CCNCS([O-])(=O)=O)C(=O)NC(C(C)O)C(=O)NC(CCNCS([O-])(=O)=O)C(=O)NC1CCNC(=O)C(NC(=O)C(CCNCS([O-])(=O)=O)NC(=O)C(CCNCS([O-])(=O)=O)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CCNCS([O-])(=O)=O)NC1=O)C(C)O
